cohort,dimension,label,count
environment,spatial_layout_depth,moderate,6
environment,spatial_layout_depth,shallow,1
environment,spatial_layout_depth,shallow moderate,1
environment,wall_color,beige,2
environment,wall_color,lightblue,1
environment,wall_color,mediumpurple,1
environment,wall_color,white,13
environment,walls_color,beige,2
environment,walls_color,lightblue,1
environment,walls_color,mediumpurple,1
environment,walls_color,white,13
environment,walls_texture,glazed,1
environment,walls_texture,glossy,3
environment,walls_texture,smooth,13
lighting,artifacts,background bokeh,1
lighting,artifacts,mild highlight bloom,1
lighting,artifacts,minor reflection on dresser mirror,1
lighting,artifacts,motion blur right forearm,1
lighting,artifacts,photographic bloom around highlights,1
lighting,artifacts,specular highlights chrome faucet glossy marble,1
lighting,artifacts,specular reflections polished floor furniture,1
lighting,color_temperature,neutral,3
lighting,color_temperature,warm,4
lighting,contrast_level,medium,8
lighting,directionality,backlighting,5
lighting,directionality,sidelighting,5
lighting,directionality,top,3
lighting,directionality,unknown,2
lighting,hardness,soft,14
lighting,saturation_level,neutral,3
lighting,saturation_level,vivid,5
lighting,shadows,casting,1
lighting,shadows,soft,9
lighting,source_summary,artificial,5
lighting,source_summary,unknown,9
lighting,sources_count,one light source,7
lighting,sources_count,two light,1
lighting,sources_type,artificial light,5
lighting,sources_type,unknown,9
objects,type,accessory,1
objects,type,appliance,8
objects,type,apron,2
objects,type,architectural,2
objects,type,backsplash,2
objects,type,bed,1
objects,type,bedcover,1
objects,type,blender,1
objects,type,board,1
objects,type,box,1
objects,type,cabinetry,3
objects,type,cabinets,1
objects,type,ceramic jar,1
objects,type,cleaning tool,6
objects,type,cloth,2
objects,type,container,3
objects,type,countertop,4
objects,type,curtains,1
objects,type,cutting board,2
objects,type,cutting boards plural token,1
objects,type,decorative pillows,1
objects,type,dish cloth,1
objects,type,door,3
objects,type,dresser,1
objects,type,fabric strip,1
objects,type,faucet,1
objects,type,fixture,2
objects,type,floor mat,1
objects,type,food,1
objects,type,frying pan,1
objects,type,furniture,4
objects,type,glove single,1
objects,type,gloves,1
objects,type,hanging basket or garment cover,1
objects,type,jar,1
objects,type,kettle,1
objects,type,kitchen towel,1
objects,type,kitchenware,2
objects,type,knife,1
objects,type,measuring jar,1
objects,type,mirror,1
objects,type,mixing bowl,1
objects,type,pendant lights,1
objects,type,plant,4
objects,type,plant pot,1
objects,type,potted plant,1
objects,type,produce,1
objects,type,rack,1
objects,type,range hood,3
objects,type,refrigerator,1
objects,type,rug,1
objects,type,scrubbing brush,1
objects,type,shelving,2
objects,type,shelving unit,1
objects,type,side table,1
objects,type,sink,4
objects,type,soap dispensing bottle,1
objects,type,spatula,1
objects,type,squeeze bottle,1
objects,type,stool,1
objects,type,stove,1
objects,type,stovetop,2
objects,type,surface,1
objects,type,table,1
objects,type,tableware,1
objects,type,textile,1
objects,type,tool,1
objects,type,towel,1
objects,type,towel stack,1
objects,type,unknown,1
objects,type,upper cabinet,1
objects,type,utensil container,1
objects,type,utensil single,2
objects,type,utensils hanging,1
objects,type,vertical paneling,1
objects,type,wall decor,1
objects,type,window,5
objects,type,window assembly,1
objects,type,window treatment,1
objects,type_distribution,appliance,8
objects,type_distribution,cabinetry,3
objects,type_distribution,cleaning tool,4
objects,type_distribution,cloth,2
objects,type_distribution,countertop,4
objects,type_distribution,cutting board,2
objects,type_distribution,door,3
objects,type_distribution,furniture,4
objects,type_distribution,others,25
objects,type_distribution,plant,4
objects,type_distribution,range hood,3
objects,type_distribution,shelving,2
objects,type_distribution,sink,4
objects,type_distribution,stovetop,2
objects,type_distribution,utensil,2
objects,type_distribution,window,5
people,activities,adjusting window area fabric,1
people,activities,cleaning,1
people,activities,food preparation,1
people,activities,handling produce,1
people,activities,scrubbing,1
people,activities,smoothing towels,1
people,activities,wiping,2
people,age_range,middle aged,6
people,age_range,older adult,1
people,age_range,young adult,2
people,clothing_garment,apron,10
people,clothing_garment,blouse,4
people,clothing_garment,dress,2
people,clothing_garment,gloves,4
people,clothing_garment,others,6
people,clothing_garment,shirt,4
people,clothing_garment,shoes,5
people,clothing_garment,skirt,1
people,clothing_garment,t-shirt,1
people,clothing_garment,trousers,1
people,eyewear_frame_color,black,1
people,eyewear_present,no,9
people,eyewear_present,yes,1
people,eyewear_type,thin frame,1
people,facial_hair_present,no,10
people,gaze_direction,down,9
people,gaze_direction,up,1
people,gender_presentation,female,10
people,hair_color,black,4
people,hair_color,brown,16
people,hair_color,gray,2
people,hair_present,yes,10
people,hair_style,long,6
people,hair_style,ponytail,16
people,hair_style,straight,4
people,hair_style,wavy,4
people,head_covering_present,no,10
people,occlusions,partial occlusion,9
people,orientation,front,3
people,orientation,three quarter,2
people,orientation,unknown,4
people,pose,attentive posture,1
people,pose,both arms extended downward,1
people,pose,engaged posture,1
people,pose,forward leaning,3
people,pose,leaning over table,1
people,pose,mid torso visible,1
people,pose,slight forward lean variant token,2
people,pose,slightly bent torso,1
people,pose,slightly forward leaning,3
people,pose,slightly leaning forward variant token,1
people,pose,standing,2
people,pose,upright,3
people,role_hint,housekeeper,2
people,skin_tone,light,2
people,skin_tone,medium,8
safety,hazards,no observable,6
safety,nsfw,unknown,10
texts,legibility,illegible text,7
texts,legibility,not legible,2
texts,legibility,partially legible,1
texts,legibility,unreadable,1
texts,plane,text background,2
texts,plane,text foreground,2
texts,plane,text midground,7
texts,side,text center,5
texts,side,text left,4
texts,side,text right,2
totals,images,unknown,10
totals,object_instances,unknown,125
totals,people_instances,unknown,10
totals,text_instances,unknown,11
uncertainty,note,approximate count of dining chairs uncertain,1
uncertainty,note,approximate count of soap dispensing bottles 2,1
uncertainty,note,approximate count small containers on shelving approx 4 6,1
uncertainty,note,approximate decorative pillows 3 uncertain,1
uncertainty,note,area behind mirror reflection partially occluded indiscernible,1
uncertainty,note,background center placement unspecified beyond wall area,1
uncertainty,note,decorative tile panel pattern partially visible,1
uncertainty,note,embroidered apron emblem partially occluded text not legible,1
uncertainty,note,exact appliance type in background right partially occluded,1
uncertainty,note,exact count of upper cabinet doors approximated three,1
uncertainty,note,exact number of folded towels approximated two uncertain,1
uncertainty,note,facial expression detail unclear due to orientation and bloom,1
uncertainty,note,folded pale textile item exact type material uncertain,1
uncertainty,note,items inside open cabinet partially occluded approximate counts only,1
uncertainty,note,lower body legs of person 1 cropped out of frame,1
uncertainty,note,lower edge of left hand partially occluded by cleaning handle,1
uncertainty,note,lower leg foot area partially occluded person,5
uncertainty,note,maker labels on linens not legible or visible,1
uncertainty,note,many small blurred items midground possible bottles containers,17
uncertainty,note,mild background blur across upper cabinet area reduces fine detail,1
uncertainty,note,minor darker area on countertop ambiguous wetness vs shadow,1
uncertainty,note,outside scene beyond right window not visible,1
uncertainty,note,powered floor buffer base model markings not legible,1
uncertainty,note,refrigerator control panel text not legible,1
uncertainty,note,right forearm motion blur partially occludes glove hand details,1
uncertainty,note,small cardboard box label not legible,1
uncertainty,note,small clear glass jar contents not identifiable,1
uncertainty,note,small clear vessel contents not identifiable,1
uncertainty,note,small dark plastic squeeze bottle label unreadable,1
uncertainty,note,small faint watermark partially legible,1
uncertainty,note,small framed items approximated 3 5 pieces,1
uncertainty,note,small rectangular badge on apron text illegible,1
uncertainty,note,small rectangular item on cutting board not clearly visible,1
uncertainty,note,small stainless steel countertop appliance appears toaster but not identifiable,1
uncertainty,note,small sticker on range hood not legible,1
uncertainty,note,time of day broad daylight but not specific,1
uncertainty,note,unknown,8
uncertainty,note,weather outside not directly visible,1
uncertainty,note,window blind slat composition not explicit painted wood vs composite,1
