,cohort,dimension,label,canonical_label
112,people,activities,cleaning,cleaning
113,people,activities,coaching,coaching
114,people,activities,coding,coding
115,people,activities,collecting apples,collecting
116,people,activities,collecting sample,collecting
117,people,activities,combing,combing
118,people,activities,connecting wires,connecting
119,people,activities,cooking,cooking
120,people,activities,crouching,crouching
121,people,activities,cutting,cutting
122,people,activities,cutting fabric,cutting
123,people,activities,cutting hair,cutting
124,people,activities,cutting vegetables,cutting
125,people,activities,digging,digging
126,people,activities,directing,directing
127,people,activities,directing traffic,directing
128,people,activities,dispensing pills,dispensing
129,people,activities,drafting,drafting
130,people,activities,drawing,drawing
131,people,activities,drawing plans,drawing
132,people,activities,drawing_blood,drawing
133,people,activities,drinking,drink
134,people,activities,driving,driving
135,people,activities,embracing,embracing
136,people,activities,engine repair,repair
137,people,activities,entering building,entering
138,people,activities,examining,examining
139,people,activities,examining arm,examining
140,people,activities,examining frames,examining
141,people,activities,examining hand,examining
142,people,activities,examining item,examining
143,people,activities,examining mouth,examining
144,people,activities,examining patient,examining
145,people,activities,examining plant,examining
146,people,activities,examining produce,examining
147,people,activities,examining sample,examining
148,people,activities,examining samples,examining
149,people,activities,examining_item,examining
150,people,activities,examining_leg,examining
151,people,activities,exchanging rings,exchanging
152,people,activities,explaining,explaining
153,people,activities,extinguishing fire,extinguishing
154,people,activities,facing audience,facing
155,people,activities,facing_audience,facing
156,people,activities,facing_fire,facing
157,people,activities,facing_gate,facing
158,people,activities,facing_reception,facing
159,people,activities,filming,filming
160,people,activities,fixing pipes,fixing
161,people,activities,flambé,flambace
162,people,activities,flying,flying
163,people,activities,folding cloth,folding
164,people,activities,folding fabric,folding
165,people,activities,forging,forge
166,people,activities,frothing milk,frothing
167,people,activities,gaming,game
168,people,activities,gardening,garden
169,people,activities,garnishing,garnishing
170,people,activities,garnishing drink,garnishing
171,people,activities,gesturing,gesturing
172,people,activities,getting hair done,getting
173,people,activities,getting haircut,getting
174,people,activities,grabbing item,grabbing
175,people,activities,grinding,grinding
176,people,activities,hammering,hammering
177,people,activities,hand on car,hand
178,people,activities,handing bottle,handing
179,people,activities,handing item,handing
180,people,activities,handling,handling
181,people,activities,handling bottle,handling
182,people,activities,handling card,handling
183,people,activities,handling components,handling
184,people,activities,handling flask,handling
185,people,activities,handling food,handling
186,people,activities,handling glassware,handling
187,people,activities,handling hose,handling
188,people,activities,handling item,handling
189,people,activities,handling material,material
190,people,activities,handling medication,medication
191,people,activities,handling papers,paper
192,people,activities,handling parts,part
193,people,activities,handling produce,produce
194,people,activities,handling soil,soil
195,people,activities,handling wires,wire
196,people,activities,handling_device,device
197,people,activities,handling_equipment,equipment
198,people,activities,handling_item,handling
199,people,activities,handling_items,item
200,people,activities,handling_paper,paper
201,people,activities,handling_plant,plant
202,people,activities,handling_plants,plant
203,people,activities,handling_produce,produce
204,people,activities,handling_sample,sample
205,people,activities,handling_sand,sand
206,people,activities,handling_tool,tool
207,people,activities,handling_wires,wire
208,people,activities,hands clasped,hand
209,people,activities,hands folded,hand
210,people,activities,hands in pockets,hand
211,people,activities,hands_clasped,hand
212,people,activities,hands_resting,hand
213,people,activities,having hair styled,hair
214,people,activities,having hand examined,hand
215,people,activities,holding-yellow-box,box
216,people,activities,holding airway,airway
217,people,activities,holding apple,apple
218,people,activities,holding bag,bag
219,people,activities,holding bags,bag
220,people,activities,holding ball,ball
221,people,activities,holding basket,basket
222,people,activities,holding baton,baton
223,people,activities,holding block,block
224,people,activities,holding book,book
225,people,activities,holding bottle,bottle
226,people,activities,holding bowl,bowl
227,people,activities,holding box,box
228,people,activities,holding boxes,box
229,people,activities,holding bread,bread
230,people,activities,holding broccoli,broccoli
231,people,activities,holding bucket,bucket
232,people,activities,holding cable,cable
233,people,activities,holding camera,camera
234,people,activities,holding cart,cart
235,people,activities,holding cash,cash
236,people,activities,holding clipboard,clipboard
237,people,activities,holding container,container
238,people,activities,holding cookie,cookie
239,people,activities,holding cup,cup
240,people,activities,holding device,device
241,people,activities,holding document,document
242,people,activities,holding drink,drink
243,people,activities,holding face,face
244,people,activities,holding flask,flask
245,people,activities,holding folder,folder
246,people,activities,holding food,food
247,people,activities,holding foot,foot
248,people,activities,holding fruit,fruit
249,people,activities,holding glass,glass
250,people,activities,holding glasses,glass
251,people,activities,holding greens,greens
252,people,activities,holding groceries,groceries
253,people,activities,holding hair,hair
254,people,activities,holding hand,hand
255,people,activities,holding hand to ear,hand
256,people,activities,holding handset,handset
257,people,activities,holding hose,hose
258,people,activities,holding instrument,instrument
259,people,activities,holding item,item
260,people,activities,holding jar,jar
261,people,activities,holding keys,key
262,people,activities,holding leash,leash
263,people,activities,holding leg,leg
264,people,activities,holding lettuce,lettuce
265,people,activities,holding light,light
266,people,activities,holding list,list
267,people,activities,holding mask,mask
268,people,activities,holding medication,medication
269,people,activities,holding melon,melon
270,people,activities,holding menu,menu
271,people,activities,holding metal,metal
272,people,activities,holding meter,meter
273,people,activities,holding microphone,microphone
274,people,activities,holding notebook,notebook
275,people,activities,holding package,package
276,people,activities,holding pad,pad
277,people,activities,holding paper,paper
278,people,activities,holding paper bag,bag
279,people,activities,holding papers,paper
280,people,activities,holding pastry,pastry
281,people,activities,holding patient,patient
282,people,activities,holding patient's hand,hand
283,people,activities,holding pen,pen
284,people,activities,holding phone,phone
285,people,activities,holding plant,plant
286,people,activities,holding plate,plate
287,people,activities,holding pot,pot
288,people,activities,holding produce,produce
289,people,activities,holding product,product
290,people,activities,holding receipt,receipt
291,people,activities,holding reflector,reflector
292,people,activities,holding rifle,rifle
293,people,activities,holding rod,rod
294,people,activities,holding small item,item
295,people,activities,holding soil,soil
296,people,activities,holding tablet,tablet
297,people,activities,holding tape,tape
298,people,activities,holding tickets,ticket
299,people,activities,holding tomato,tomato
300,people,activities,holding tomatoes,tomato
301,people,activities,holding tongs,tong
302,people,activities,holding tray,tray
303,people,activities,holding trowel,trowel
304,people,activities,holding ukulele,ukulele
305,people,activities,holding vegetable,vegetable
306,people,activities,holding vegetables,vegetable
307,people,activities,holding vial,vial
308,people,activities,holding watering can,can
309,people,activities,holding wires,wire
310,people,activities,holding wrench,wrench
311,people,activities,holding wrist,wrist
312,people,activities,holding_bag,bag
313,people,activities,holding_basket,basket
314,people,activities,holding_blueprint,blueprint
315,people,activities,holding_book,book
316,people,activities,holding_bouquet,bouquet
317,people,activities,holding_box,box
318,people,activities,holding_bread,bread
319,people,activities,holding_briefcase,briefcase
320,people,activities,holding_cables,cable
321,people,activities,holding_camera,camera
322,people,activities,holding_cart,cart
323,people,activities,holding_chalk,chalk
324,people,activities,holding_chart,chart
325,people,activities,holding_clipboard,clipboard
326,people,activities,holding_coat,coat
327,people,activities,holding_coffee,coffee
328,people,activities,holding_comb,comb
329,people,activities,holding_folder,folder
330,people,activities,holding_fruit,fruit
331,people,activities,holding_glasses,glass
332,people,activities,holding_gown,gown
333,people,activities,holding_groceries,groceries
334,people,activities,holding_hat,hat
335,people,activities,holding_hose,hose
336,people,activities,holding_instrument,instrument
337,people,activities,holding_item,item
338,people,activities,holding_leash,leash
339,people,activities,holding_list,list
340,people,activities,holding_mallet,mallet
341,people,activities,holding_mask,mask
342,people,activities,holding_notebook,notebook
343,people,activities,holding_object,object
344,people,activities,holding_package,package
345,people,activities,holding_pan,pan
346,people,activities,holding_panel,panel
347,people,activities,holding_paper,paper
348,people,activities,holding_papers,paper
349,people,activities,holding_part,part
350,people,activities,holding_pen,pen
351,people,activities,holding_phone,phone
352,people,activities,holding_pillow,pillow
353,people,activities,holding_plan,plan
354,people,activities,holding_produce,produce
355,people,activities,holding_remote,remote
356,people,activities,holding_rifle,rifle
357,people,activities,holding_rod,rod
358,people,activities,holding_tablet,tablet
359,people,activities,holding_tool,tool
360,people,activities,holding_tools,tool
361,people,activities,holding_vegetable,vegetable
362,people,activities,holding_watering_can,can
363,people,activities,inserting cash,cash
364,people,activities,inspecting,inspecting
365,people,activities,inspecting bottle,bottle
366,people,activities,inspecting glasses,glasses
367,people,activities,inspecting inventory,inventory
368,people,activities,inspecting item,item
369,people,activities,inspecting panel,panel
370,people,activities,inspecting plant,plant
371,people,activities,inspecting produce,produce
372,people,activities,inspecting shelves,shelf
373,people,activities,inspecting tomato,tomato
374,people,activities,inspecting tray,tray
375,people,activities,inspecting wires,wire
376,people,activities,inspecting_item,item
377,people,activities,inspecting_wiring,wiring
378,people,activities,installing fixture,fixture
379,people,activities,instructing,instructing
380,people,activities,interacting,interacting
381,people,activities,interviewing,interviewing
382,people,activities,kissing,kissing
383,people,activities,kneading,kneading
384,people,activities,kneading dough,dough
385,people,activities,kneeling,kneeling
386,people,activities,leading_discussion,discussion
387,people,activities,leaning,leaning
388,people,activities,leaning_forward,forward
389,people,activities,leveling,leveling
390,people,activities,lifting box,box
391,people,activities,lifting cookie,cookie
392,people,activities,listening,listening
393,people,activities,looking,looking
394,people,activities,looking at item,item
395,people,activities,looking at papers,paper
396,people,activities,looking at phone,phone
397,people,activities,looking at produce,produce
398,people,activities,looking at screens,screen
399,people,activities,looking at shelf,shelf
400,people,activities,looking at shelves,shelf
401,people,activities,looking down,look
402,people,activities,looking out window,window
403,people,activities,looking_at_desk,desk
404,people,activities,looking_at_documents,document
405,people,activities,looking_at_items,item
406,people,activities,looking_at_shelf,shelf
407,people,activities,looking_out,look
408,people,activities,looking_out_window,window
409,people,activities,lying,lying
410,people,activities,lying on stretcher,stretcher
411,people,activities,machining,machining
412,people,activities,making coffee,coffee
413,people,activities,making drink,drink
414,people,activities,marking,marking
415,people,activities,marking fabric,fabric
416,people,activities,marking plans,plan
417,people,activities,measuring,measuring
418,people,activities,meeting,meeting
419,people,activities,mixing,mixing
420,people,activities,mixing dough,dough
421,people,activities,mixing drink,drink
422,people,activities,monitor viewing,screen
423,people,activities,monitoring,monitor
424,people,activities,monitoring instruments,instrument
425,people,activities,monitoring traffic,traffic
426,people,activities,mopping,mopping
427,people,activities,moving boxes,box
428,people,activities,observing,observing
429,people,activities,observing patient,patient
430,people,activities,observing produce,produce
431,people,activities,observing sample,sample
432,people,activities,observing scene,scene
433,people,activities,observing traffic,traffic
434,people,activities,observing train,train
435,people,activities,on_phone,phone
436,people,activities,opening mouth,mouth
437,people,activities,opening_gate,gate
438,people,activities,operating,operating
439,people,activities,operating camera,camera
440,people,activities,operating controls,control
441,people,activities,operating equipment,equipment
442,people,activities,operating forklift,forklift
443,people,activities,operating hose,hose
444,people,activities,operating lathe,lathe
445,people,activities,operating machine,machine
446,people,activities,operating microscope,microscope
447,people,activities,operating pallet jack,pallet
448,people,activities,operating register,register
449,people,activities,operating_camera,camera
450,people,activities,operating_coffee_machine,machine
451,people,activities,operating_equipment,equipment
452,people,activities,operating_machine,machine
453,people,activities,operating_machinery,machinery
454,people,activities,operating_register,register
455,people,activities,packing bag,bag
456,people,activities,packing groceries,groceries
457,people,activities,patrolling,patrolling
458,people,activities,paying,paying
459,people,activities,performing,performing
460,people,activities,photographing,photographing
461,people,activities,photographing_bride,bride
462,people,activities,picking apples,apple
463,people,activities,picking produce,produce
464,people,activities,piloting,piloting
465,people,activities,pinning fabric,fabric
466,people,activities,pipetting,pipetting
467,people,activities,placing apples,apple
468,people,activities,placing bowl,bowl
469,people,activities,placing cookie,cookie
470,people,activities,placing fruit,fruit
471,people,activities,placing glass,glass
472,people,activities,placing in basket,basket
473,people,activities,placing item,item
474,people,activities,placing IV,iv
475,people,activities,placing payment,payment
476,people,activities,placing plate,plate
477,people,activities,planing,planing
478,people,activities,planing wood,wood
479,people,activities,planting,planting
480,people,activities,playing guitar,guitar
481,people,activities,playing piano,piano
482,people,activities,playing_instrument,instrument
483,people,activities,pointing,pointing
484,people,activities,posing,posing
485,people,activities,positioning strap,strap
486,people,activities,potting,potting
487,people,activities,pouring,pouring
488,people,activities,pouring coffee,coffee
489,people,activities,pouring drink,drink
490,people,activities,pouring liquid,liquid
491,people,activities,pouring water,water
492,people,activities,preparing,preparing
493,people,activities,preparing coffee,coffee
494,people,activities,preparing device,device
495,people,activities,preparing dough,dough
496,people,activities,preparing drink,drink
497,people,activities,preparing equipment,equipment
498,people,activities,preparing food,food
499,people,activities,preparing medication,medication
500,people,activities,preparing plate,plate
501,people,activities,preparing shot,shot
502,people,activities,preparing syringe,syringe
503,people,activities,preparing vegetables,vegetable
504,people,activities,preparing_device,device
505,people,activities,preparing_food,food
506,people,activities,preparing_injection,injection
507,people,activities,prepping,prepping
508,people,activities,presenting,presenting
509,people,activities,presenting document,document
510,people,activities,presiding,presiding
511,people,activities,processing payment,payment
512,people,activities,pruning,pruning
513,people,activities,pulling bag,bag
514,people,activities,pulling cables,cable
515,people,activities,pulling suitcase,suitcase
516,people,activities,pulling trolley,trolley
517,people,activities,pulling_case,case
518,people,activities,pushing basket,basket
519,people,activities,pushing boxes,box
520,people,activities,pushing cart,cart
521,people,activities,pushing_basket,basket
522,people,activities,pushing_cart,cart
523,people,activities,raising stick,stick
524,people,activities,raising_arms,arm
525,people,activities,raising_hand,hand
526,people,activities,reaching,reaching
527,people,activities,reaching fruit,fruit
528,people,activities,reaching shelf,shelf
529,people,activities,reaching_for_book,book
530,people,activities,reaching_shelf,shelf
531,people,activities,reading,reading
532,people,activities,reading book,book
533,people,activities,reading chart,chart
534,people,activities,reading clipboard,clipboard
535,people,activities,reading code,code
536,people,activities,reading document,document
537,people,activities,reading documents,document
538,people,activities,reading label,label
539,people,activities,reading level,leveling
540,people,activities,reading list,list
541,people,activities,reading map,map
542,people,activities,reading menu,menu
543,people,activities,reading monitor,screen
544,people,activities,reading newspaper,newspaper
545,people,activities,reading notes,note
546,people,activities,reading package,package
547,people,activities,reading paper,paper
548,people,activities,reading papers,paper
549,people,activities,reading plans,plan
550,people,activities,reading product,product
551,people,activities,reading receipt,receipt
552,people,activities,reading tablet,tablet
553,people,activities,reading_book,book
554,people,activities,reading_label,label
555,people,activities,reading_papers,paper
556,people,activities,reading_phone,phone
557,people,activities,receiving care,care
558,people,activities,receiving haircut,haircut
559,people,activities,receiving_treatment,treatment
560,people,activities,reclining,reclining
561,people,activities,repairing,repairing
562,people,activities,repairing car,car
563,people,activities,repairing engine,engine
564,people,activities,repairing faucet,faucet
565,people,activities,repairing pipes,pipe
566,people,activities,repairing sink,sink
567,people,activities,resting,resting
568,people,activities,resting head,head
569,people,activities,resting_head,head
570,people,activities,restocking,restocking
571,people,activities,reviewing,reviewing
572,people,activities,reviewing charts,chart
573,people,activities,reviewing document,document
574,people,activities,reviewing documents,document
575,people,activities,reviewing music,music
576,people,activities,reviewing papers,paper
577,people,activities,reviewing plans,plan
578,people,activities,reviewing_documents,document
579,people,activities,reviewing_papers,paper
580,people,activities,riding,riding
581,people,activities,riding horse,horse
582,people,activities,riding in cart,cart
583,people,activities,running,running
584,people,activities,sampling,sampling
585,people,activities,sanding,sanding
586,people,activities,scanning,scanner
587,people,activities,scanning item,item
588,people,activities,scanning items,item
589,people,activities,scanning phone,phone
590,people,activities,scooping,scooping
591,people,activities,scooping sand,sand
592,people,activities,scooping soil,soil
593,people,activities,screen_viewing,screen
594,people,activities,sculpting,sculpting
595,people,activities,seated,seated
596,people,activities,selecting apple,apple
597,people,activities,selecting fruit,fruit
598,people,activities,selecting glasses,glasses
599,people,activities,selecting item,item
600,people,activities,selecting medication,medication
601,people,activities,selecting produce,produce
602,people,activities,selecting_item,item
603,people,activities,selecting_produce,produce
604,people,activities,serving,serving
605,people,activities,serving drink,drink
606,people,activities,serving drinks,drink
607,people,activities,serving plate,plate
608,people,activities,setting plate,plate
609,people,activities,setting table,table
610,people,activities,sewing,sewing
611,people,activities,shaking hands,hand
612,people,activities,shaping,shaping
613,people,activities,shaping cookies,cookie
614,people,activities,shaping dough,dough
615,people,activities,shaping_dough,dough
616,people,activities,sharpening,sharpening
617,people,activities,shopping,shopping
618,people,activities,shoveling,shoveling
619,people,activities,showing paper,paper
620,people,activities,showing_phone,phone
621,people,activities,sifting,sifting
622,people,activities,sifting soil,soil
623,people,activities,signaling,signaling
624,people,activities,signing,signing
625,people,activities,signing paper,paper
626,people,activities,singing,singing
627,people,activities,sitting,sitting
628,people,activities,sketching,sketching
629,people,activities,slicing,slicing
630,people,activities,smiling,smiling
631,people,activities,smoothing mortar,mortar
632,people,activities,smoothing sand,sand
633,people,activities,sorting,sorting
634,people,activities,sorting papers,paper
635,people,activities,sorting produce,produce
636,people,activities,speaking,speaking
637,people,activities,spraying water,water
638,people,activities,sprinkling,sprinkling
639,people,activities,sprinkling_flour,flour
640,people,activities,standing,standing
641,people,activities,standing arms crossed,standing
642,people,activities,standing guard,standing
643,people,activities,standing with cart,standing
644,people,activities,steering,steering
645,people,activities,stirring,stirring
646,people,activities,stitching,stitching
647,people,activities,stocking,stocking
648,people,activities,stocking_shelves,shelf
649,people,activities,studying,studying
650,people,activities,styling,styling
651,people,activities,styling hair,hair
652,people,activities,supervising,supervising
653,people,activities,supporting_patient,patient
654,people,activities,surveying,surveying
655,people,activities,swinging,swinging
656,people,activities,taking notes,note
657,people,activities,taking_notes,note
658,people,activities,taking_photo,photo
659,people,activities,talking,talking
660,people,activities,talking on phone,phone
661,people,activities,tapping terminal,terminal
662,people,activities,teaching,teaching
663,people,activities,tending,tending
664,people,activities,tending plants,plant
665,people,activities,tending_plants,plant
666,people,activities,testing,testing
667,people,activities,testing wires,wire
668,people,activities,thinking,thinking
669,people,activities,tossing football,football
670,people,activities,touching car,car
671,people,activities,touching hair,hair
672,people,activities,touching_leg,leg
673,people,activities,tracing pattern,pattern
674,people,activities,treating patient,patient
675,people,activities,trimming,trimming
676,people,activities,trying glasses,glasses
677,people,activities,turning handwheel,handwheel
678,people,activities,turning page,page
679,people,activities,turning valve,valve
680,people,activities,turning_pages,page
681,people,activities,typing,typing
682,people,activities,undergoing_surgery,surgery
683,people,activities,using basket,basket
684,people,activities,using computer,computer
685,people,activities,using dental tool,tool
686,people,activities,using drill,drill
687,people,activities,using hairdryer,hairdryer
688,people,activities,using keyboard,keyboard
689,people,activities,using laptop,laptop
690,people,activities,using microscope,microscope
691,people,activities,using mouse,mouse
692,people,activities,using phone,phone
693,people,activities,using register,register
694,people,activities,using stylus,stylus
695,people,activities,using tablet,tablet
696,people,activities,using tool,tool
697,people,activities,using wrench,wrench
698,people,activities,using_calculator,calculating
699,people,activities,using_computer,computer
700,people,activities,using_device,device
701,people,activities,using_instruments,instrument
702,people,activities,using_keyboard,keyboard
703,people,activities,using_mouse,mouse
704,people,activities,using_phone,phone
705,people,activities,using_pliers,plier
706,people,activities,using_power_tool,tool
707,people,activities,using_scooter,scooter
708,people,activities,using_tablet,tablet
709,people,activities,vacuuming,vacuuming
710,people,activities,viewing monitors,screen
711,people,activities,viewing screens,screen
712,people,activities,viewing_monitors,screen
713,people,activities,viewing_screens,screen
714,people,activities,waiting,waiting
715,people,activities,walking,walking
716,people,activities,walking dog,dog
717,people,activities,walking dogs,dog
718,people,activities,washing_dishes,dish
719,people,activities,watching,watching
720,people,activities,watering,watering
721,people,activities,watering plants,plant
722,people,activities,wearing headset,headset
723,people,activities,weeding,weeding
724,people,activities,welcoming,welcoming
725,people,activities,welding,welding
726,people,activities,wiping mouth,mouth
727,people,activities,wire work,wire
728,people,activities,wiring,wiring
729,people,activities,working,working
730,people,activities,working at computer,computer
731,people,activities,working on engine,engine
732,people,activities,working on panel,panel
733,people,activities,working on wiring,wire
734,people,activities,working wires,wire
735,people,activities,writing,writing
736,people,activities,writing notes,note
737,people,activities,adding liquid,liquid
738,people,activities,adding_ingredient,ingredient
739,people,activities,adjusting apparatus,apparatus
740,people,activities,adjusting block,block
741,people,activities,adjusting cape,cape
742,people,activities,adjusting device,device
743,people,activities,adjusting drape,drape
744,people,activities,adjusting fabric,fabric
745,people,activities,adjusting gloves,glove
746,people,activities,adjusting headset,headset
747,people,activities,adjusting jacket,jacket
748,people,activities,adjusting knob,knob
749,people,activities,adjusting lens,lens
750,people,activities,adjusting microscope,microscope
751,people,activities,adjusting parts,part
752,people,activities,adjusting pipe,pipe
753,people,activities,adjusting slicer,slicer
754,people,activities,adjusting stretcher,stretcher
755,people,activities,adjusting tank,tank
756,people,activities,adjusting tie,tie
757,people,activities,adjusting valve,valve
758,people,activities,adjusting_belt,belt
759,people,activities,adjusting_controls,control
760,people,activities,adjusting_part,part
761,people,activities,adjusting_sleeve,sleeve
762,people,activities,adjusting_slide,slide
763,people,activities,aiming,aiming
764,people,activities,annotating,annotating
765,people,activities,applying hair product,product
766,people,activities,applying makeup,makeup
767,people,activities,approaching_fire,fire
768,people,activities,arguing,arguing
769,people,activities,arms crossed,arm
770,people,activities,arranging bread,bread
771,people,activities,arranging dishes,dish
772,people,activities,arranging items,item
773,people,activities,arranging pepper,pepper
774,people,activities,arranging tomatoes,tomato
775,people,activities,arranging yarn,yarn
776,people,activities,arranging_cash,cash
777,people,activities,arranging_food,food
778,people,activities,at counter,counter
779,people,activities,at_ambulance,ambulance
780,people,activities,attending station,station
781,people,activities,attending_fire,fire
782,people,activities,attending_patient,patient
783,people,activities,audio mixing,audio
784,people,activities,balancing,balancing
785,people,activities,ballet,ballet
786,people,activities,ballet_pose,pose
787,people,activities,being styled,style
788,people,activities,blow_drying,drying
789,people,activities,bracing,bracing
790,people,activities,brush_stroke,stroke
791,people,activities,brushing,brush
792,people,activities,brushing hair,hair
793,people,activities,brushing_hair,hair
794,people,activities,calculating,calculating
795,people,activities,carrying container,container
796,people,activities,carrying plate,carrying
797,people,activities,carrying toolbox,toolbox
798,people,activities,carrying_bin,bin
799,people,activities,carrying_box,carrying
800,people,activities,carrying_package,package
801,people,activities,carving wood,wood
802,people,activities,checking bread,bread
803,people,activities,checking camera,camera
804,people,activities,checking clipboard,clipboard
805,people,activities,checking item,item
806,people,activities,checking jacket,jacket
807,people,activities,checking papers,paper
808,people,activities,checking shelf,shelf
809,people,activities,checking supplies,supply
810,people,activities,checking tablet,tablet
811,people,activities,checking_list,checking
812,people,activities,clasping_hands,hand
813,people,activities,cleaning sink,sink
814,people,activities,combing hair,hair
815,people,activities,connecting,connecting
816,people,activities,cooking_prep,cooking
817,people,activities,crossing arms,arm
818,people,activities,cutting bread,bread
819,people,activities,cutting leather,leather
820,people,activities,cutting metal,metal
821,people,activities,cutting vegetable,vegetable
822,people,activities,cutting wood,wood
823,people,activities,dancing,dancing
824,people,activities,dining,dining
825,people,activities,displaying tablet,tablet
826,people,activities,dissecting,dissecting
827,people,activities,dribbling,dribbling
828,people,activities,drying dishes,dish
829,people,activities,dusting,dusting
830,people,activities,dusting flour,flour
831,people,activities,eating,eating
832,people,activities,examining camera,camera
833,people,activities,examining items,item
834,people,activities,examining specimen,specimen
835,people,activities,examining_sample,examining
836,people,activities,examining_slide,slide
837,people,activities,facing camera,camera
838,people,activities,facing_bench,bench
839,people,activities,facing_camera,camera
840,people,activities,filing,file
841,people,activities,fixing faucet,faucet
842,people,activities,fixing sprinkler,sprinkler
843,people,activities,flambéing,flambace
844,people,activities,flexing,flexing
845,people,activities,flipping,flipping
846,people,activities,flipping_pages,page
847,people,activities,floor cleaning,floor
848,people,activities,folding,folding
849,people,activities,folding napkin,napkin
850,people,activities,folding_linen,linen
851,people,activities,forging metal,metal
852,people,activities,getting hair styled,hair
853,people,activities,greeting,greeting
854,people,activities,guarding,guarding
855,people,activities,guiding fabric,fabric
856,people,activities,hand-stitching,stitching
857,people,activities,hand_on_book,book
858,people,activities,handing,handing
859,people,activities,handling bowls,bowl
860,people,activities,handling box,box
861,people,activities,handling bread,bread
862,people,activities,handling cables,cable
863,people,activities,handling eggs,egg
864,people,activities,handling equipment,equipment
865,people,activities,handling fabric,fabric
866,people,activities,handling instrument,instrument
867,people,activities,handling instruments,instrument
868,people,activities,handling items,item
869,people,activities,handling paperwork,paperwork
870,people,activities,handling plants,plant
871,people,activities,handling sample,sample
872,people,activities,handling straw,straw
873,people,activities,handling supplies,supply
874,people,activities,handling tongs,tong
875,people,activities,handling tools,tool
876,people,activities,handling tray,tray
877,people,activities,handling vials,vial
878,people,activities,handling wood,wood
879,people,activities,handling wooden board,board
880,people,activities,handling_bucket,bucket
881,people,activities,handling_card,handling
